timestamp_unix,timestamp_iso,phase,step_label,elapsed_in_phase_s,event,total_W,soc_C,cpu_clock_MHz,throttled_flags,0V8_AON_V,0V8_AON_A,0V8_AON_W,0V8_SW_V,0V8_SW_A,0V8_SW_W,1V1_SYS_V,1V1_SYS_A,1V1_SYS_W,1V8_SYS_V,1V8_SYS_A,1V8_SYS_W,3V3_ADC_V,3V3_ADC_A,3V3_ADC_W,3V3_DAC_V,3V3_DAC_A,3V3_DAC_W,3V3_SYS_V,3V3_SYS_A,3V3_SYS_W,3V7_WL_SW_V,3V7_WL_SW_A,3V7_WL_SW_W,BATT_V,BATT_A,BATT_W,DDR_VDD2_V,DDR_VDD2_A,DDR_VDD2_W,DDR_VDDQ_V,DDR_VDDQ_A,DDR_VDDQ_W,EXT5V_V,EXT5V_A,EXT5V_W,HDMI_V,HDMI_A,HDMI_W,VDD_CORE_V,VDD_CORE_A,VDD_CORE_W
1778782636.512,2026-05-14T20:17:16.511,setup,,0.000,run_start,2.3031,48.30,2400.0,0,0.7994,0.002259,0.0018,0.8007,0.305466,0.2446,1.1070,0.248862,0.2755,1.8051,0.255694,0.4616,3.3114,0.000000,0.0000,3.3150,0.000000,0.0000,3.3026,0.162980,0.5383,3.7267,0.001952,0.0073,0.0000,,,1.1077,0.041965,0.0465,0.6018,0.002451,0.0015,5.1108,,,5.1081,0.010989,0.0561,0.8725,0.767980,0.6700
1778782636.750,2026-05-14T20:17:16.750,setup,,0.238,,2.3124,49.40,2400.0,0,0.7994,0.002259,0.0018,0.8015,0.301562,0.2417,1.1062,0.247886,0.2742,1.8188,0.254718,0.4633,3.3150,0.000000,0.0000,3.3141,0.000000,0.0000,3.3072,0.164932,0.5455,3.7202,0.000976,0.0036,0.0000,,,1.1062,0.043917,0.0486,0.5985,0.000980,0.0006,5.1014,,,5.1054,0.010867,0.0555,0.8722,0.776910,0.6776
1778782636.988,2026-05-14T20:17:16.988,setup,,0.476,,2.3240,48.30,2400.0,0,0.7997,0.002381,0.0019,0.7993,0.301562,0.2410,1.1048,0.248862,0.2749,1.8007,0.256670,0.4622,3.3150,0.000000,0.0000,3.3132,0.000000,0.0000,3.3063,0.171764,0.5679,3.7415,0.000000,0.0000,0.0000,,,1.1048,0.040013,0.0442,0.6037,0.004412,0.0027,5.1041,,,5.1134,0.011600,0.0593,0.8722,0.767980,0.6698
1778782637.226,2026-05-14T20:17:17.226,setup,,0.715,,2.2946,48.30,2400.0,0,0.7988,0.002381,0.0019,0.8000,0.303514,0.2428,1.1040,0.248862,0.2748,1.8159,0.259597,0.4714,3.3123,0.000000,0.0000,3.3141,0.000000,0.0000,3.3407,0.162980,0.5445,3.7415,0.000976,0.0037,0.0000,,,1.1044,0.039037,0.0431,0.5989,0.000490,0.0003,5.1027,,,5.1041,0.011355,0.0580,0.8722,0.750120,0.6543
1778782637.565,2026-05-14T20:17:17.565,setup,,1.054,,2.3037,48.30,2400.0,0,0.8000,0.002381,0.0019,0.8015,0.305466,0.2448,1.1070,0.248862,0.2755,1.7988,0.257646,0.4634,3.3150,0.000000,0.0000,3.3159,0.000000,0.0000,3.3063,0.163956,0.5421,3.7267,0.000000,0.0000,0.0000,,,1.1136,0.037085,0.0413,0.5989,0.001471,0.0009,5.0974,,,5.1094,0.011111,0.0568,0.8714,0.776910,0.6770
1778782637.803,2026-05-14T20:17:17.803,setup,,1.292,,2.3200,46.60,2400.0,0,0.7997,0.002930,0.0023,0.8015,0.314250,0.2519,1.1062,0.249838,0.2764,1.8002,0.255694,0.4603,3.3123,0.000000,0.0000,3.3141,0.000000,0.0000,3.3110,0.167860,0.5558,3.7267,0.000000,0.0000,0.0000,,,1.1070,0.038061,0.0421,0.5993,0.002941,0.0018,5.1081,,,5.1041,0.011722,0.0598,0.8719,0.767980,0.6696
1778782638.041,2026-05-14T20:17:18.041,idle,,0.029,idle_start,2.5154,47.20,2400.0,0,0.7997,0.002320,0.0019,0.8015,0.301562,0.2417,1.1059,0.279116,0.3087,1.8002,0.258622,0.4656,3.3141,0.000000,0.0000,3.3150,0.000000,0.0000,3.3110,0.165908,0.5493,3.7267,0.001952,0.0073,0.0000,,,1.1253,0.042941,0.0483,0.5993,0.000490,0.0003,5.1027,,,5.1094,0.011600,0.0593,0.8719,0.955510,0.8331
1778782638.280,2026-05-14T20:17:18.280,idle,,0.268,,3.2115,48.80,2400.0,0,0.8000,0.002259,0.0018,0.8004,0.313273,0.2507,1.1055,0.246910,0.2730,1.8061,0.260573,0.4706,3.3132,0.000000,0.0000,3.3141,0.000000,0.0000,3.3258,0.164932,0.5485,3.7415,0.000000,0.0000,0.0000,,,1.1077,0.081002,0.0897,0.5982,0.003431,0.0021,5.1027,,,5.1067,0.011111,0.0567,0.8719,1.741350,1.5184
1778782638.519,2026-05-14T20:17:18.519,idle,,0.507,,4.3852,48.80,2400.0,0,0.8000,0.002259,0.0018,0.7996,0.305466,0.2443,1.1073,0.247886,0.2745,1.8007,0.263501,0.4745,3.3132,0.000000,0.0000,3.3141,0.000000,0.0000,3.3045,0.165908,0.5482,3.7415,0.000976,0.0037,0.0000,,,1.1059,0.076123,0.0842,0.6004,0.001961,0.0012,5.0598,,,5.0907,0.011722,0.0597,0.8717,3.089780,2.6933
1778782638.760,2026-05-14T20:17:18.760,idle,,0.748,,3.3281,48.30,2400.0,0,0.8000,0.002137,0.0017,0.8000,0.309370,0.2475,1.1044,0.247886,0.2738,1.8041,0.255694,0.4613,3.3132,0.000000,0.0000,3.3141,0.000000,0.0000,3.3082,0.174691,0.5779,3.7406,0.000976,0.0037,0.0000,,,1.1084,0.086858,0.0963,0.6004,0.001961,0.0012,5.0974,,,5.1067,0.011722,0.0599,0.8725,1.839580,1.6050
1778782638.999,2026-05-14T20:17:18.998,idle,,0.987,,3.3428,49.40,2400.0,0,0.7997,0.002381,0.0019,0.8011,0.306442,0.2455,1.1059,0.247886,0.2741,1.8081,0.257646,0.4658,3.3132,0.000000,0.0000,3.3132,0.000000,0.0000,3.3119,0.167860,0.5559,3.7415,0.000000,0.0000,0.0000,,,1.1099,0.064411,0.0715,0.6029,0.003431,0.0021,5.0960,,,5.0907,0.011722,0.0597,0.8719,1.911020,1.6663
1778782639.240,2026-05-14T20:17:19.239,idle,,1.228,,3.2679,48.80,2400.0,0,0.7991,0.002259,0.0018,0.7993,0.315225,0.2519,1.1070,0.247886,0.2744,1.8208,0.260573,0.4744,3.3132,0.000000,0.0000,3.3141,0.000000,0.0000,3.3100,0.175667,0.5815,3.7285,0.000000,0.0000,0.0000,,,1.1066,0.088810,0.0983,0.5989,0.003431,0.0021,5.0933,,,5.1027,0.011233,0.0573,0.8719,1.750280,1.5261
1778782639.479,2026-05-14T20:17:19.478,idle,,1.467,,3.2957,49.40,2400.0,0,0.7997,0.002442,0.0020,0.8015,0.315225,0.2526,1.1048,0.245934,0.2717,1.8051,0.258622,0.4668,3.3132,0.000000,0.0000,3.3141,0.000000,0.0000,3.3258,0.167860,0.5583,3.7378,0.000000,0.0000,0.0000,,,1.1059,0.071243,0.0788,0.5989,0.005392,0.0032,5.0907,,,5.1014,0.011233,0.0573,0.8725,1.839580,1.6050
